Designator,Mid X,Mid Y,Rotation,Layer
C10,151.384,-125.997,270.0,top
C11,136.926,-118.364,0.0,bottom
C12,136.886,-125.984,180.0,bottom
C13,155.956,-125.984,270.0,top
C14,143.49,-125.984,0.0,bottom
C15,150.460806,-89.437348,0.0,top
C16,150.460806,-90.961348,0.0,top
C17,162.065,-90.932,180.0,top
C18,162.065,-89.408,180.0,top
C19,162.306,-84.836,0.0,top
C20,162.319,-86.36,0.0,top
C21,159.258,-130.81,180.0,top
C22,150.101,-86.36,180.0,top
C23,151.384,-80.772,90.0,top
C24,167.399,-129.794,180.0,top
C25,150.114,-83.058,180.0,top
C26,167.386,-135.362,270.0,bottom
C27,147.053,-84.836,180.0,top
C28,147.053,-86.36,180.0,top
C29,150.101,-84.836,180.0,top
C30,167.64,-104.381,90.0,top
C31,161.798,-104.381,90.0,top
C32,159.017,-111.506,180.0,top
C33,158.242,-107.188,270.0,bottom
C34,169.672,-108.953,270.0,top
C35,157.975,-109.601,0.0,bottom
D5,152.368,-48.26,180.0,bottom
D6,151.892,-54.99,270.0,top
D7,154.94,-54.99,270.0,top
FB1,145.288,-117.6275,270.0,top
FB2,141.224,-117.6275,270.0,top
FB3,143.256,-117.6275,270.0,top
J11,138.43,-99.314,180.0,top
J2,152.39,-74.676,90.0,bottom
J3,152.4,-142.748,270.0,bottom
R13,143.32,-78.105,180.0,top
U2,152.4,-57.912,0.0,top
U3,153.664,-117.896,90.0,top
U4,156.21,-86.868,270.0,top
U5,163.322,-130.744,180.0,top
U6,164.7775,-109.859,270.0,top
